Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18278.49,219341.88,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),"Web Servers (default: 6 instances, peak: 12 instances)",Amazon EC2 ,0,775.260038,9303.12,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 6, Peak: 12, Duration of peak: 10 Hr 0 Min)), Advance EC2 instance (m5.xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),"Application Servers (default: 6 instances, peak: 12 instances)",Amazon EC2 ,0,775.260038,9303.12,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 6, Peak: 12, Duration of peak: 10 Hr 0 Min)), Advance EC2 instance (m5.xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),Database (1 MasterDB and 2 ReadReplicas),Amazon Aurora PostgreSQL-Compatible DB,0,8516.68,102200.16,USD,,"Aurora PostgreSQL Cluster Configuration Option (Aurora Standard), Quantity (3), Instance type (db.r5.8xlarge), Utilization (100 %Utilized/Month), Pricing strategy (Reserved 1yr No Upfront), Storage amount (10 TB), Additional backup storage (10 TB)"
Increased_Cost Estimate,US East (N. Virginia),Application Load Balancers (2 load balancers),Application Load Balancer,0,79.57,954.84,USD,,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),NAT Gateways (2 instances + Data Transfer by NAT),Network Address Translation (NAT) Gateway,0,250.02,3000.24,USD,,Number of NAT Gateways (2)
Increased_Cost Estimate,US East (N. Virginia),S3 Storage - Latest Content,S3 Standard,0,706.56,8478.72,USD,,S3 Standard storage (30 TB per month)
Increased_Cost Estimate,US East (N. Virginia),S3 Storage - Recent Months Content,S3 Glacier Instant Retrieval,0,368.64,4423.68,USD,,S3 Glacier Instant Retrieval storage (90 TB per month)
Increased_Cost Estimate,US East (N. Virginia),S3 Storage - Old Content,S3 Glacier Flexible Retrieval,0,889.22,10670.64,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (240 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),CloudFront and Data Transfer,Amazon CloudFront,0,5734.28,68811.36,USD,,"Data transfer out to internet (45 TB per month), Data transfer out to origin (7.5 TB per month), Number of requests (HTTPS) (675000000 per month), Data transfer out to internet (4.5 TB per month), Data transfer out to origin (0.75 TB per month), Number of requests (HTTPS) (67500000 per month), Data transfer out to internet (4.5 TB per month), Data transfer out to origin (0.75 TB per month), Number of requests (HTTPS) (67500000 per month)"
Increased_Cost Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
